real value,Predicted value
326,342.7
338,353.1
359,372.8
366,374.6
362,367.5
347,352.3
355,366.3
365,389.4
410,432.2
425,444.4
420,441.0
415,443.1
388,404.5
402,413.6
399,412.1
394,411.9
403,429.2
417,451.3
423,466.1
407,447.5
390,418.0
367,395.2
338,364.4
327,365.0
320,338.7
331,343.8
352,366.9
360,369.5
357,359.5
345,354.3
354,364.5
366,388.9
408,408.0
417,412.0
409,406.7
399,400.5
379,374.9
393,384.7
392,380.8
393,379.9
402,392.4
420,422.6
431,432.9
416,423.5
400,403.0
377,393.8
351,342.5
346,354.6
342,329.6
359,343.5
379,371.6
379,373.5
370,363.7
352,337.9
348,339.0
360,354.0
385,407.3
374,413.0
357,406.8
348,397.2
329,371.2
331,372.6
326,368.5
324,365.8
335,373.2
360,398.5
379,408.7
374,405.8
363,389.3
341,363.1
320,346.2
316,345.3
313,345.5
325,354.5
344,366.6
350,368.4
342,357.7
320,335.3
304,322.8
304,324.3
321,332.7
320,339.9
306,328.0
296,324.2
290,322.7
286,319.5
282,317.2
285,321.4
300,334.3
342,369.0
366,391.4
362,392.0
354,379.6
335,355.6
310,326.8
304,324.1
304,340.7
315,346.2
335,361.2
342,362.4
341,358.9
329,346.1
340,359.1
355,377.1
402,427.4
418,434.5
415,430.5
419,424.6
398,390.8
419,403.2
417,402.6
413,401.3
422,428.7
428,436.7
424,445.8
405,432.3
385,422.1
358,386.3
330,365.9
317,352.5
309,337.7
322,352.7
343,361.0
350,362.7
344,360.2
330,356.7
338,361.8
351,369.6
388,387.1
392,400.2
374,395.7
368,387.4
341,371.6
359,374.0
357,371.1
358,371.7
370,378.6
389,394.9
399,405.3
388,395.6
373,386.0
352,361.7
331,342.5
323,337.9
316,319.8
330,334.6
355,344.6
364,346.7
362,343.0
353,325.1
364,323.0
374,325.3
411,394.5
421,402.0
408,400.9
408,400.0
388,381.4
394,389.1
394,389.6
394,386.7
407,391.9
425,411.0
442,416.7
429,411.6
413,391.3
389,347.9
359,332.3
353,327.6
351,364.5
364,372.0
383,371.4
387,371.9
380,364.8
369,351.4
389,358.2
401,371.4
429,409.3
429,418.6
419,412.5
414,404.8
392,377.3
410,387.2
408,386.7
413,385.7
429,397.0
447,417.9
454,429.8
439,418.3
419,404.1
391,377.0
357,361.0
348,348.0
343,331.8
354,338.2
372,354.8
380,361.2
374,357.5
364,339.1
379,346.0
396,359.2
440,382.2
453,387.6
439,385.3
436,384.4
413,368.2
416,378.3
408,376.7
405,374.2
418,383.5
430,398.0
438,397.1
422,389.6
404,384.4
379,357.2
350,326.2
339,317.5
334,358.8
345,374.6
362,378.7
366,379.2
359,369.3
341,339.1
335,343.0
346,351.9
379,395.7
383,412.3
372,408.2
364,401.4
351,379.8
361,385.7
359,380.7
358,377.4
373,392.7
395,410.5
411,418.4
402,415.9
391,402.1
372,377.4
351,347.8
351,344.6
349,346.8
360,355.7
374,368.4
373,368.6
359,357.9
330,334.0
317,322.8
321,324.9
336,343.6
337,337.5
327,335.4
319,336.1
322,332.6
310,326.1
310,320.0
308,319.5
327,336.3
361,384.0
387,397.8
385,397.1
384,387.5
368,366.5
340,329.6
338,326.2
341,334.5
352,342.9
368,358.1
370,359.8
362,354.2
353,338.3
372,344.5
389,360.5
419,423.8
422,431.6
408,423.8
401,414.8
387,366.3
407,368.6
405,363.7
403,362.0
417,378.6
433,418.1
448,430.6
434,415.0
416,405.7
393,389.8
364,355.4
355,353.0
354,340.3
368,353.4
385,360.2
387,361.6
379,358.6
366,345.0
382,356.4
396,370.7
430,431.8
428,437.8
411,432.4
409,420.6
383,390.9
401,399.6
397,396.6
395,394.3
408,409.6
421,427.7
437,430.1
427,417.8
412,408.3
386,383.3
357,357.7
353,363.5
354,364.5
367,372.8
383,384.9
386,383.9
378,376.2
368,362.9
389,384.8
401,400.7
427,449.9
425,452.8
410,446.0
401,438.0
379,430.4
396,437.6
399,435.6
402,434.5
414,446.5
428,476.3
441,482.7
426,463.5
410,428.5
384,391.0
352,367.0
342,361.9
340,360.1
353,370.4
371,379.6
375,381.2
370,372.1
362,359.7
375,372.0
382,385.8
412,425.8
422,433.3
415,423.6
415,410.2
393,407.4
401,408.2
399,404.5
405,403.4
423,411.9
440,433.8
452,441.1
435,423.2
416,398.4
391,388.1
361,362.6
355,350.6
350,346.3
359,350.8
377,367.0
379,368.5
373,361.4
364,344.7
383,353.0
391,370.0
415,401.6
418,407.1
404,394.3
400,390.5
369,384.6
389,387.8
387,387.5
384,386.5
398,398.6
414,418.4
434,430.6
424,421.8
408,393.3
386,381.6
363,344.4
362,344.8
359,352.2
368,356.0
383,377.0
383,376.4
372,373.1
353,353.5
350,353.6
360,370.2
392,374.1
390,380.1
372,373.9
361,368.6
342,349.6
348,351.8
350,350.5
350,352.7
359,360.8
374,373.9
390,386.7
382,375.9
369,361.2
349,336.3
324,323.2
318,321.7
315,345.8
328,354.7
344,366.9
349,368.0
340,356.6
314,328.7
298,317.5
298,319.2
321,333.7
325,330.8
312,324.3
304,317.3
307,313.2
299,309.0
307,308.1
312,306.3
330,318.0
367,377.5
394,399.2
395,395.9
389,386.5
372,368.2
350,331.0
350,326.2
349,328.5
358,338.6
371,353.9
372,356.6
364,352.1
357,344.5
385,361.6
403,379.8
435,410.6
441,417.4
434,408.9
434,402.4
415,380.6
432,389.3
433,389.6
434,389.7
448,398.6
465,412.8
485,425.5
471,418.1
454,401.1
425,378.5
393,347.0
388,342.0
381,351.8
385,360.1
393,371.4
394,373.7
384,368.9
374,359.7
399,372.0
409,387.3
435,389.6
435,391.5
422,384.2
420,372.4
393,354.0
406,360.8
402,359.2
402,356.6
417,367.7
430,385.3
446,394.2
434,391.4
416,382.9
392,371.5
367,327.3
362,319.4
358,350.7
367,356.0
381,377.4
381,378.1
372,372.5
351,362.0
342,377.4
348,386.1
372,446.0
365,450.3
349,443.5
348,427.4
332,424.6
335,432.2
328,433.6
330,434.5
342,445.0
370,476.5
399,478.0
396,463.1
387,425.6
367,400.7
340,379.8
334,352.9
331,363.2
346,372.4
365,381.2
370,382.2
364,375.6
352,363.6
367,380.2
376,391.3
407,424.7
411,427.3
396,415.3
392,399.1
366,357.1
381,362.2
380,361.0
379,359.9
389,368.0
405,410.4
423,422.3
411,418.3
395,418.2
373,396.6
349,361.5
343,353.9
336,358.6
349,366.1
368,379.1
373,378.2
368,370.3
360,352.4
374,360.4
382,380.0
408,422.8
415,426.5
406,419.1
404,414.3
383,411.9
404,427.8
402,429.1
400,427.5
409,436.1
427,441.4
446,448.0
437,436.9
421,410.8
398,374.8
372,350.4
370,346.4
365,352.9
374,360.4
386,371.3
385,372.4
372,365.5
353,344.4
352,349.3
361,356.7
384,357.4
376,362.2
359,358.8
352,354.7
334,345.9
336,345.8
334,336.5
332,330.8
344,337.6
361,363.7
384,367.2
379,360.1
368,346.1
351,331.6
327,309.7
325,301.4
325,322.9
337,327.4
354,342.2
355,346.5
343,340.3
320,320.0
305,305.8
302,305.1
311,312.8
311,314.1
307,306.3
298,298.4
293,297.0
293,293.2
294,289.0
297,288.3
311,298.6
341,348.2
363,366.5
362,368.5
352,361.8
335,338.4
310,305.6
302,302.4
300,338.4
312,342.6
335,368.7
344,370.2
340,361.8
331,351.7
344,360.5
357,381.1
401,421.0
412,425.1
402,419.1
392,411.5
371,397.1
392,403.7
394,405.3
392,407.7
407,421.0
416,445.4
421,456.2
405,434.7
386,406.6
361,384.9
333,353.8
322,348.0
317,350.1
329,358.5
349,374.3
355,374.8
353,369.5
340,357.7
348,373.8
356,386.0
389,394.4
392,394.0
381,378.3
379,365.6
353,347.4
372,352.2
369,348.8
369,348.5
379,357.1
392,378.4
408,394.6
395,392.9
378,383.8
356,371.9
335,326.6
328,318.4
321,320.0
334,329.8
357,339.6
364,341.7
356,338.1
344,323.8
354,326.3
358,331.1
384,389.4
392,396.2
389,397.0
385,394.6
362,376.5
381,388.0
378,389.4
378,385.2
389,386.1
397,403.0
415,409.8
406,403.4
391,385.8
367,354.1
340,332.9
330,326.5
324,341.3
336,357.6
356,365.0
362,367.3
360,362.6
349,352.0
361,360.6
363,370.4
390,393.9
393,412.1
389,411.0
392,408.5
370,390.5
384,393.0
382,391.2
380,389.0
395,404.9
408,411.0
429,418.7
417,413.9
402,397.1
380,367.6
349,350.4
339,340.0
340,337.4
354,349.3
371,365.0
374,368.7
368,361.5
357,351.6
373,359.6
379,373.5
406,388.4
411,391.8
396,385.9
386,382.0
362,359.7
375,373.2
372,370.9
369,371.7
381,381.2
391,390.7
414,396.7
408,386.7
394,376.3
373,358.5
349,321.7
348,316.0
346,340.8
357,350.5
374,374.7
376,376.6
367,370.9
348,353.6
345,356.6
348,354.1
369,355.1
366,364.2
354,361.1
345,362.2
334,348.8
345,348.9
345,345.2
349,339.8
360,344.2
374,358.3
388,363.8
378,358.2
364,347.2
345,330.9
321,315.9
311,306.9
305,331.6
313,333.5
331,352.2
339,354.7
332,348.5
306,320.1
283,301.8
281,300.6
303,328.1
308,329.5
301,324.0
303,318.2
303,310.2
298,309.7
290,306.1
295,306.4
305,319.2
329,349.4
345,377.2
339,375.4
327,363.4
311,346.3
290,313.1
282,311.8
282,324.2
297,328.8
320,343.9
330,345.9
327,341.7
314,327.2
319,333.1
323,350.3
352,378.8
360,385.0
362,379.4
366,358.3
350,348.7
373,353.4
368,350.5
358,347.6
365,356.5
373,404.3
390,411.3
384,401.9
370,406.0
349,375.4
325,353.6
314,353.2
316,315.7
332,325.1
354,347.1
363,351.7
360,348.2
343,341.9
349,340.7
350,349.1
381,390.6
381,392.2
378,387.7
374,372.7
350,355.5
368,367.0
360,361.9
360,357.2
368,376.9
374,388.9
395,398.8
389,389.1
376,376.2
355,362.8
334,329.0
326,322.4
321,312.9
335,319.5
358,346.4
360,348.2
352,339.6
341,320.6
351,320.3
354,316.8
393,355.8
401,361.7
384,354.9
379,354.1
352,339.0
366,345.7
363,341.7
362,338.4
374,346.4
385,357.9
398,374.4
385,369.9
371,357.2
348,340.1
326,332.4
318,326.4
311,288.7
325,283.0
347,294.5
354,324.5
345,323.5
330,313.8
335,308.3
346,312.7
393,383.6
414,390.6
412,385.2
412,379.9
385,351.2
402,363.7
399,361.9
394,359.9
400,369.9
404,386.6
408,399.0
394,386.3
376,372.0
354,349.2
326,330.5
316,327.8
310,300.7
329,319.4
353,342.6
360,346.6
358,343.2
348,338.0
357,334.2
352,331.6
375,350.0
384,353.1
375,347.2
374,341.9
353,327.0
369,338.6
364,336.5
366,333.7
375,337.3
385,346.5
409,355.0
403,352.3
390,345.1
368,337.5
343,310.5
338,303.2
334,310.6
343,323.2
360,338.0
365,341.4
358,338.6
342,325.7
338,319.5
340,321.5
364,344.5
360,351.7
350,346.4
343,343.7
329,334.9
332,335.0
326,333.7
324,330.8
332,338.3
350,355.8
372,365.5
366,359.9
353,347.0
335,315.2
311,295.5
302,283.9
297,316.1
308,329.0
328,346.8
336,350.6
330,341.3
307,327.6
286,310.8
287,311.1
315,295.2
330,305.6
331,305.3
332,306.4
329,306.7
321,304.0
319,303.8
314,306.3
325,307.0
348,323.3
369,343.3
367,343.5
357,336.8
340,321.3
315,290.0
307,286.5
306,293.3
321,301.1
336,341.4
343,343.4
341,339.8
333,325.2
346,324.3
351,329.7
381,358.0
388,362.1
384,353.3
385,349.4
356,367.0
369,373.5
365,372.5
361,371.8
370,376.9
378,388.3
400,403.0
397,403.3
385,382.2
364,343.4
343,318.2
338,306.4
335,314.9
348,322.5
365,339.5
371,344.0
363,341.2
352,329.9
366,323.8
372,323.5
408,373.6
421,376.4
417,374.3
421,374.2
403,352.8
423,361.5
420,362.5
417,357.8
424,362.1
429,377.7
432,386.2
415,381.7
396,369.5
369,350.5
345,338.4
333,333.9
323,319.1
334,335.0
354,352.5
360,355.6
358,350.2
344,333.4
349,334.7
348,336.9
375,376.2
383,392.3
374,388.8
375,388.3
351,368.8
368,377.5
370,374.7
370,370.4
376,372.3
383,382.2
404,389.0
399,387.1
384,376.7
363,355.5
342,340.9
333,329.2
327,315.5
340,326.5
362,357.4
370,359.4
365,354.6
355,339.4
367,343.5
364,348.5
383,376.6
388,384.8
379,381.2
383,366.5
360,355.5
377,362.3
374,365.2
370,363.5
380,367.7
390,368.8
415,380.9
410,378.6
393,373.5
369,349.4
340,332.2
327,316.1
322,323.7
341,340.2
364,363.4
369,365.3
364,361.0
355,344.2
367,352.3
365,359.8
396,400.8
414,410.7
410,408.8
404,414.3
385,401.8
406,406.6
404,407.5
401,404.6
411,414.7
418,431.1
425,437.5
412,430.9
392,394.3
367,353.6
339,316.5
327,309.6
318,312.3
329,320.3
348,365.2
354,366.6
347,360.6
327,343.9
317,343.7
322,349.4
369,347.0
390,355.6
388,352.5
388,349.6
373,347.0
381,347.0
381,337.5
376,333.1
380,339.9
387,358.9
393,361.9
384,354.8
361,343.6
339,331.1
312,314.7
305,306.3
298,319.1
310,326.5
331,337.9
337,343.4
329,338.1
307,317.8
287,296.2
282,290.5
294,300.8
299,304.3
289,296.6
290,291.1
281,290.6
279,283.2
270,281.4
267,284.4
279,291.0
304,341.8
332,357.9
342,358.5
335,350.8
321,327.8
297,302.3
289,299.8
289,297.9
305,316.8
326,335.7
336,341.2
334,338.3
322,322.5
327,322.1
338,336.2
388,386.1
410,394.7
410,392.6
415,397.4
400,391.2
420,396.8
417,396.2
413,398.5
418,414.2
418,424.7
424,443.3
412,428.3
394,391.1
370,356.9
340,320.8
329,313.4
324,330.8
338,340.9
357,359.4
365,361.5
364,359.8
358,337.1
372,344.0
374,352.6
408,383.3
424,395.2
427,391.6
415,390.0
399,366.9
423,381.9
424,384.2
420,381.6
432,387.9
447,394.3
467,403.2
461,401.9
444,388.2
419,361.0
391,341.0
384,333.5
378,328.4
383,339.7
394,356.3
391,357.4
380,352.4
370,337.5
389,346.8
390,348.1
414,394.4
419,397.7
419,393.8
413,390.9
388,374.6
397,376.6
392,374.7
387,367.8
396,375.0
405,387.6
426,408.1
426,404.2
414,390.7
391,368.4
366,332.9
357,326.6
349,339.8
359,358.9
373,371.0
376,373.3
369,366.1
358,354.3
370,366.1
374,381.5
400,400.3
407,404.4
393,406.6
389,398.9
360,391.9
380,399.7
375,397.8
371,396.1
379,412.1
392,412.7
415,429.9
411,426.7
398,402.0
377,374.6
355,338.5
351,322.0
350,348.4
363,361.9
378,389.0
381,389.5
373,384.9
363,377.1
379,386.6
378,397.9
395,401.3
394,408.4
380,402.3
375,394.2
353,381.1
365,394.3
361,396.2
357,396.0
362,407.3
369,429.3
390,438.6
388,427.2
373,408.8
354,384.1
334,357.8
328,351.7
321,329.9
334,338.3
352,362.4
356,362.9
352,356.2
333,336.0
324,332.6
328,339.8
356,369.4
353,373.4
340,366.7
329,367.8
317,344.0
321,354.4
312,346.3
312,344.9
321,356.7
333,376.2
354,396.4
356,393.2
346,386.0
330,367.0
309,335.7
300,334.7
299,316.1
312,321.3
332,346.7
339,349.1
333,343.8
311,310.8
291,294.0
285,291.2
300,303.8
311,304.4
313,296.1
306,290.7
306,287.6
303,281.0
299,278.4
304,277.7
314,286.1
336,329.1
351,349.7
345,351.3
340,344.5
323,326.7
299,303.0
289,300.4
287,297.7
301,312.6
324,329.9
335,335.9
328,330.9
310,317.9
316,322.1
329,325.6
373,383.1
387,389.8
382,386.2
383,383.0
356,372.2
372,372.0
373,374.8
368,371.2
365,373.8
362,387.0
378,397.7
373,394.5
358,379.7
337,340.0
318,320.0
309,311.9
304,304.2
317,308.1
340,326.2
349,328.9
346,325.7
328,315.4
327,315.8
324,316.4
351,373.8
359,373.0
352,374.8
348,373.8
323,356.7
343,357.8
339,358.6
336,354.0
341,359.7
339,364.0
353,379.0
352,372.3
340,364.7
320,326.1
301,311.3
295,304.9
291,322.9
307,329.4
330,349.1
342,351.4
338,345.0
319,325.9
309,329.8
309,323.6
346,351.9
357,359.7
355,358.8
362,357.6
342,342.4
367,355.5
372,353.5
372,351.3
378,354.9
376,362.4
375,371.3
361,367.6
345,356.4
323,360.7
298,319.1
288,313.9
283,298.0
298,312.0
323,331.4
333,350.5
330,347.8
313,327.0
307,322.0
315,324.1
354,356.4
372,377.5
373,380.7
373,380.4
348,363.9
362,372.7
357,375.2
352,374.3
357,377.2
355,376.8
361,387.3
354,380.9
339,368.5
318,346.6
297,310.8
285,309.2
282,294.4
295,297.2
319,326.8
330,338.7
327,338.0
310,306.6
304,297.6
296,294.3
323,344.8
337,346.0
335,346.3
331,347.2
311,330.0
331,343.3
336,337.6
331,335.9
331,342.8
331,348.6
343,357.9
338,360.1
325,350.3
310,324.9
292,312.1
281,308.7
275,284.5
288,291.7
311,322.7
323,331.5
319,328.1
304,309.5
283,283.9
271,282.0
289,324.6
299,329.1
291,326.2
283,322.9
276,310.6
281,310.4
282,307.0
278,304.0
276,307.9
286,324.6
305,336.9
308,340.8
299,326.7
286,309.3
267,297.7
260,297.8
258,275.7
270,281.0
296,314.1
311,321.8
309,319.5
288,296.5
262,265.2
243,259.7
247,268.2
250,279.2
249,277.3
251,282.2
254,285.1
253,281.5
251,278.3
251,276.9
258,289.6
282,305.5
308,325.5
311,328.0
303,310.3
290,295.7
271,276.6
264,267.8
264,271.6
277,283.8
306,309.4
322,315.7
322,317.0
310,308.1
309,308.1
299,304.6
326,329.3
343,343.7
348,341.4
350,339.7
331,329.9
346,340.2
339,340.6
334,339.3
343,346.0
347,349.1
364,363.4
363,360.4
352,351.2
333,322.7
315,296.1
305,291.9
297,268.6
315,285.3
342,314.8
355,326.0
355,325.6
344,305.2
343,297.0
331,292.6
353,322.9
363,328.6
363,333.2
368,330.9
349,315.2
361,326.3
358,331.4
354,327.6
360,331.9
365,334.4
384,342.5
384,344.8
372,337.6
352,316.6
332,291.4
324,293.9
321,276.2
334,282.4
357,318.6
366,326.7
360,320.3
349,302.2
352,288.6
342,280.9
362,344.2
372,355.0
366,351.4
368,349.7
347,337.1
359,347.5
354,345.3
349,340.1
353,338.9
359,337.4
377,355.7
380,356.0
370,343.6
349,321.5
325,280.2
316,271.8
313,293.7
332,305.9
357,321.7
368,327.8
365,327.6
351,314.2
352,300.2
340,302.0
361,329.1
367,343.9
362,345.4
361,345.5
338,328.9
350,342.4
346,340.6
341,339.3
346,342.1
350,340.5
368,351.5
372,351.7
362,345.1
343,320.2
319,314.7
310,304.8
306,303.3
325,319.8
351,336.2
362,345.0
358,342.5
347,326.0
346,318.4
332,322.4
349,357.6
354,361.9
348,355.2
347,349.6
322,336.6
337,345.2
335,344.9
332,343.1
332,349.1
337,361.1
352,368.1
350,363.6
338,355.9
319,346.9
297,330.3
287,333.2
280,316.3
293,327.5
316,338.5
328,342.8
324,340.9
305,333.8
285,331.6
269,331.9
281,339.4
286,345.1
284,342.1
288,339.8
277,327.6
280,326.2
282,324.9
281,325.9
283,335.9
289,351.2
304,359.3
308,354.5
297,340.7
287,324.1
270,305.1
264,293.9
261,288.4
275,293.5
300,316.2
313,323.1
309,318.2
285,292.2
258,274.4
249,269.3
261,294.6
270,303.5
271,301.0
267,295.7
262,295.4
257,288.7
251,285.5
252,284.9
259,290.5
274,318.1
294,329.2
298,334.2
291,330.7
276,323.6
263,308.0
256,295.2
253,266.2
269,277.7
297,304.1
313,316.6
309,315.7
290,304.3
281,287.8
277,284.9
307,323.5
316,324.5
319,323.1
322,321.8
302,309.2
319,320.8
319,320.5
318,320.7
321,326.2
320,337.8
331,350.5
328,350.8
315,342.3
296,333.6
281,312.3
275,306.4
270,275.4
282,287.3
308,312.5
323,325.9
316,325.8
300,299.1
285,292.5
275,286.8
302,339.4
318,352.4
315,351.8
320,351.4
303,337.2
318,346.0
321,347.4
326,346.8
327,348.6
329,353.2
335,357.6
326,355.0
311,346.9
293,313.6
273,296.6
263,292.8
260,276.1
275,293.7
301,320.8
319,330.0
316,329.8
296,307.5
282,296.8
280,291.0
314,314.1
331,325.9
327,323.5
329,321.2
307,308.9
324,325.2
335,325.8
331,323.9
331,323.3
332,328.9
336,338.4
325,341.1
311,332.1
294,311.5
277,291.0
269,277.4
262,279.8
273,290.1
300,324.4
318,330.7
316,329.8
298,310.2
278,299.7
271,296.1
304,308.9
319,323.5
319,325.0
325,326.0
305,310.3
326,326.6
319,333.3
318,330.5
328,332.2
328,334.9
335,337.4
330,333.7
316,325.3
299,302.5
281,285.3
272,273.8
265,279.5
276,286.8
300,326.8
317,336.2
316,334.7
296,313.2
278,302.6
274,300.9
304,313.4
331,326.6
338,328.3
344,330.6
324,314.9
345,327.0
348,330.1
344,326.8
348,328.2
345,327.7
344,334.3
330,335.2
316,324.1
297,315.7
281,291.1
271,281.4
262,275.0
272,288.3
294,322.5
311,333.0
308,331.5
287,311.3
265,294.9
257,293.3
280,274.1
290,278.4
298,280.3
303,282.9
290,278.6
300,279.7
293,278.1
295,276.8
299,280.2
303,287.6
313,293.5
303,302.6
289,294.9
274,273.8
256,264.9
248,262.8
244,274.7
254,282.6
280,302.7
298,311.4
295,308.8
271,280.9
244,252.5
240,244.7
251,255.9
258,265.4
267,266.4
271,269.0
269,269.7
259,270.7
264,270.4
266,270.2
267,273.6
280,296.7
295,308.0
296,311.0
285,305.9
269,284.4
249,280.1
241,265.6
237,274.8
248,280.1
274,295.3
293,306.9
294,309.4
276,297.3
265,293.2
272,291.0
310,312.3
332,327.6
340,332.8
345,336.4
324,317.4
342,337.6
338,337.8
333,335.7
339,333.5
339,326.2
344,333.4
332,334.5
316,326.6
297,308.3
277,287.4
265,280.9
257,260.8
271,262.3
298,303.0
318,325.6
318,317.6
303,294.0
292,284.9
296,279.2
336,305.6
354,311.9
354,316.4
356,315.7
335,305.5
356,312.9
355,314.9
351,317.1
357,318.0
356,321.6
365,328.0
355,329.6
341,318.0
321,296.8
295,283.1
282,276.7
274,257.9
291,260.8
